PAAC1,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC2,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC3,PAAC30,PAAC31,PAAC32,PAAC33,PAAC34,PAAC35,PAAC36,PAAC37,PAAC38,PAAC39,PAAC4,PAAC40,PAAC41,PAAC42,PAAC43,PAAC44,PAAC45,PAAC46,PAAC47,PAAC48,PAAC49,PAAC5,PAAC50,PAAC51,PAAC52,PAAC53,PAAC54,PAAC55,PAAC56,PAAC57,PAAC58,PAAC59,PAAC6,PAAC60,PAAC61,PAAC62,PAAC63,PAAC64,PAAC65,PAAC66,PAAC7,PAAC8,PAAC9,class
1.463,0.209,2.455,0.679,0.209,0.522,1.776,0.731,0.784,0.366,0.313,1.358,1.567,1.8430000000000002,1.607,1.62,1.847,1.6769999999999998,1.7890000000000001,1.683,1.827,1.784,0.261,1.607,1.931,1.761,1.7719999999999998,1.834,1.659,1.855,1.631,1.929,1.8940000000000001,0.784,1.806,1.8980000000000001,1.699,1.8359999999999999,1.7519999999999998,1.7819999999999998,1.891,1.719,1.882,1.871,0.157,1.824,1.79,1.864,1.8230000000000002,1.8090000000000002,1.91,1.77,1.848,1.797,1.819,1.149,1.795,1.837,1.838,1.8940000000000001,1.805,1.6480000000000001,1.745,0.993,1.358,0.366,0.0
1.335,0.904,2.376,0.978,0.547,0.6729999999999999,1.272,1.724,1.146,0.2,0.34700000000000003,0.978,1.114,1.765,1.844,1.6880000000000002,1.666,1.829,1.785,1.6569999999999998,1.749,1.7519999999999998,0.6409999999999999,1.7309999999999999,1.722,1.756,1.756,1.775,1.692,1.745,1.736,1.725,1.786,1.041,1.7519999999999998,1.7469999999999999,1.7590000000000001,1.739,1.735,1.716,1.757,1.7519999999999998,1.744,1.7309999999999999,0.379,1.7619999999999998,1.77,1.765,1.75,1.706,1.739,1.75,1.784,1.76,1.811,1.514,1.8119999999999998,1.719,1.784,1.74,1.739,1.7309999999999999,1.744,0.746,1.062,0.568,0.0
1.8030000000000002,0.364,2.282,1.093,0.499,0.17300000000000001,0.825,1.227,0.825,0.077,0.268,1.285,0.8059999999999999,1.709,1.704,1.7169999999999999,1.713,1.7280000000000002,1.7819999999999998,1.6580000000000001,1.889,1.806,0.691,1.791,1.6880000000000002,1.796,1.8430000000000002,1.63,1.7830000000000001,1.7690000000000001,1.712,1.7180000000000002,1.8230000000000002,0.652,1.7919999999999998,1.526,1.794,1.8319999999999999,1.794,1.7369999999999999,1.84,1.811,1.723,1.8230000000000002,0.21100000000000002,1.798,1.709,1.714,1.7719999999999998,1.827,1.6380000000000001,1.81,1.787,1.725,1.716,2.7039999999999997,1.8459999999999999,1.7730000000000001,1.7080000000000002,1.8019999999999998,1.7480000000000002,1.78,1.6980000000000002,2.148,0.94,0.345,0.0
1.111,0.602,1.713,1.0190000000000001,0.324,0.324,0.741,0.973,0.602,0.046,0.23199999999999998,1.436,1.3430000000000002,1.694,1.692,1.796,1.749,1.8530000000000002,1.811,1.6540000000000001,1.756,1.7730000000000001,1.25,1.6030000000000002,1.6869999999999998,1.653,1.787,1.6840000000000002,1.675,1.835,1.805,1.807,1.751,1.0190000000000001,1.9140000000000001,1.554,1.6480000000000001,1.8559999999999999,1.767,1.771,1.871,1.9580000000000002,1.764,1.74,0.139,1.7480000000000002,1.8619999999999999,1.704,1.733,1.9040000000000001,1.768,1.72,1.8530000000000002,1.879,1.867,2.269,1.824,1.994,1.709,1.5959999999999999,1.784,1.8659999999999999,1.71,1.9909999999999999,1.297,0.139,0.0
1.6230000000000002,0.564,1.5330000000000001,1.082,0.316,0.7440000000000001,1.42,1.375,0.9470000000000001,0.451,0.27,1.082,1.172,1.8359999999999999,1.869,1.681,1.7380000000000002,1.765,1.8019999999999998,1.712,1.859,1.84,0.564,1.743,1.726,1.79,1.788,1.801,1.754,1.8,1.775,1.729,1.767,0.902,1.713,1.825,1.7830000000000001,1.805,1.786,1.7519999999999998,1.81,1.7590000000000001,1.851,1.6880000000000002,0.248,1.8030000000000002,1.831,1.744,1.7930000000000001,1.767,1.776,1.7080000000000002,1.755,1.881,1.7269999999999999,1.51,1.7380000000000002,1.867,1.7280000000000002,1.797,1.713,1.87,1.745,0.789,1.262,0.361,0.0
1.5919999999999999,0.878,4.171,0.659,0.439,1.7009999999999998,0.384,1.7009999999999998,1.043,0.384,0.439,0.768,1.262,1.734,1.7,1.73,1.642,1.755,1.693,1.693,1.844,1.6569999999999998,0.32899999999999996,1.742,1.791,1.735,1.857,1.7369999999999999,1.8,1.7590000000000001,1.785,1.7890000000000001,1.829,0.494,1.703,1.679,1.732,1.675,1.716,1.7280000000000002,1.794,1.6680000000000001,1.633,1.7519999999999998,0.22,1.702,1.771,1.6969999999999998,1.641,1.776,1.7830000000000001,1.857,1.798,1.682,1.6440000000000001,0.823,1.781,1.8319999999999999,1.755,1.7930000000000001,1.704,1.7309999999999999,1.679,0.659,1.646,0.439,0.0
1.787,0.9359999999999999,2.128,1.107,0.596,0.9359999999999999,0.426,1.2770000000000001,0.851,0.17,0.7659999999999999,0.9359999999999999,1.107,1.6769999999999998,1.8030000000000002,1.624,1.61,1.735,1.7619999999999998,1.642,1.646,1.672,0.596,1.624,1.781,1.662,1.659,1.672,1.8130000000000002,1.7790000000000001,1.931,1.921,1.864,0.9359999999999999,1.617,1.896,1.869,1.6380000000000001,1.75,1.876,1.7180000000000002,1.7069999999999999,1.9,2.01,0.34,1.7619999999999998,1.662,1.901,1.8,1.744,1.857,1.848,1.975,1.6469999999999998,1.6640000000000001,1.192,1.9180000000000001,1.965,1.835,1.7469999999999999,1.921,1.808,1.7890000000000001,1.2770000000000001,0.596,0.34,0.0
1.541,1.088,1.45,0.9059999999999999,0.997,1.179,0.272,0.816,1.2690000000000001,0.091,0.635,0.9059999999999999,1.632,1.787,1.797,1.745,1.629,1.6840000000000002,1.659,1.645,1.859,1.6580000000000001,0.635,1.7469999999999999,1.815,1.705,1.808,1.777,1.9169999999999998,1.7590000000000001,1.909,1.8630000000000002,2.028,0.816,1.695,1.946,1.869,1.6909999999999998,1.8259999999999998,1.685,1.9409999999999998,1.838,1.861,1.9140000000000001,0.18100000000000002,1.76,1.722,1.696,1.8780000000000001,1.902,1.715,1.7209999999999999,1.574,1.814,1.589,1.8130000000000002,1.7269999999999999,1.829,1.9509999999999998,1.719,1.614,1.641,1.869,0.363,1.179,0.45299999999999996,0.0
0.865,0.865,1.946,0.865,0.43200000000000005,0.721,0.505,0.7929999999999999,1.0090000000000001,0.36,0.505,1.297,1.297,1.7309999999999999,1.6969999999999998,1.777,1.766,1.8459999999999999,1.933,1.7109999999999999,1.8880000000000001,1.6369999999999998,0.36,1.702,1.798,1.6969999999999998,1.845,1.815,2.043,1.7990000000000002,1.807,1.88,1.645,0.505,1.8780000000000001,1.5959999999999999,1.777,1.635,1.883,1.818,1.875,1.9380000000000002,1.892,1.828,0.14400000000000002,1.7730000000000001,1.865,1.8880000000000001,1.686,1.8780000000000001,1.577,1.9069999999999998,1.696,1.9609999999999999,1.889,1.5859999999999999,1.939,1.8880000000000001,1.632,1.781,1.729,2.012,1.8230000000000002,1.225,1.153,0.505,0.0
1.0190000000000001,1.0190000000000001,2.272,1.3319999999999999,0.47,1.097,0.627,1.175,0.7829999999999999,0.078,0.5479999999999999,1.097,0.7829999999999999,1.716,1.781,1.619,1.7590000000000001,1.796,1.663,1.8840000000000001,1.848,1.781,0.392,1.8430000000000002,1.9080000000000001,1.67,1.851,1.6880000000000002,1.8159999999999998,1.703,1.725,1.882,1.829,0.862,1.9280000000000002,1.796,1.932,1.954,1.679,1.8019999999999998,1.8430000000000002,1.8840000000000001,1.815,1.9409999999999998,0.235,1.73,1.7480000000000002,1.817,1.7690000000000001,1.885,1.8869999999999998,1.7269999999999999,1.681,1.911,1.682,1.567,1.639,1.87,1.847,1.84,1.7630000000000001,1.764,1.943,0.235,1.175,0.392,0.0
